weight_kg_per_m,length_m,price_per_piece,annual_volume,lme_price_eur_per_kg,profile_name_Innerbåge,profile_name_Mellanprofil,profile_name_Stomme,profile_name_Tätning,profile_name_Ytterbåge,material_Rå,alloy_EN-AW-6061-T6,alloy_EN-AW-6063-T5,alloy_EN-AW-6082-T6,tolerance_EN 12020-2,tolerance_EN 755-9,tolerance_ISO 2768-mK,surface_treatment_Anodized,surface_treatment_None,surface_treatment_Powder Coated,year,month,quarter
-1.2745094213250472,1.1060649627952102,1.3888045083670357,0.5239846255541822,-0.06577209097556608,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,2025,3,1
-1.2701959339887428,1.1060649627952102,0.8541537538713055,-1.3356809775956846,0.9319375737646944,False,False,False,False,True,True,True,False,False,False,True,False,False,False,True,2025,1,1
1.78087744189058,-0.5789187974543101,0.11029183457289862,-0.3671051426217956,-1.4126801383749197,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False,2025,2,1
0.04110421624779915,1.1060649627952102,-0.029182275295552864,0.5239846255541822,-0.814054339530762,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,2025,1,1
-0.9136143141875779,1.1060649627952102,1.27257608347666,-1.3356809775956846,-1.6621075545599864,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,2025,5,2
-0.746826137183807,-0.5789187974543101,0.7379253289809298,0.5239846255541822,-1.4625656216119338,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,2025,5,2
-0.84747417503091,-1.2908837665738258,-0.33137618001053054,-1.3356809775956846,0.1836553252094985,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,2025,4,2
0.2467137792783096,0.8687433064220383,-1.6331345387827434,-1.3356809775956846,1.131479506712747,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,2025,4,2
0.03679072891149489,-1.2908837665738258,-1.2844492641116152,-0.3671051426217956,0.9818230570017087,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,2025,1,1
1.3293991006907178,1.1060649627952102,-1.0519924143308628,-0.3671051426217956,0.0339988754984602,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,2025,1,1
-0.9855057697926515,0.8687433064220383,-1.6098888538046687,-0.3671051426217956,-0.6643978898197237,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,2025,2,1
